id,lat,lon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c
2431,52.49708219999999,13.3829672,,,,"Kita Verein zur Förderung eines",0,1128,1,08:30,17:00,08:30,17:00,08:30,17:00,08:30,17:00,08:30,17:00
697,52.53281399999999,13.402119,"2","0|1|2|4|6",,"Kita Veteranenstr. 10/Kigä City",0,37,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
746229,52.5052061,13.4755468,,,,"Kita Victoria",0,1082,1,0,0,0,0,0,0,0,0,0,0
453129,52.5540759,13.3727549,"2","0|4",,"Kita Vielfalter",0,1129,1,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
2056,52.55165,13.47355,"8|4|2",,,"Kita Vielfarb-Kita",0,724,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2098,52.62868839999999,13.4994239,"8|4|2",,,"Kita Vielfarb-Kita",0,724,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2729,52.4148,13.52764,"2","2",,"Kita Vier Jahreszeiten",0,772,4,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1327,52.41043999999999,13.35734,"8|4",,,"Kita Vier Jahreszeiten des NUSZ",0,765,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
217129,52.521124,13.1529315,,,"1","Kita Villa Amalienhof",0,1130,8,0,0,0,0,0,0,0,0,0,0
2513,52.4715295,13.3299861,,,,"Kita Villa Anna",1,1131,2,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
974,52.4631759,13.3204022,,,,"Kita Villa Anna -Krippe-",1,1131,2,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
1204,52.47233,13.33145,,,,"Kita Villa Anna-Vorschule-",0,1131,2,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30
1468,52.6150265,13.3023494,,"2",,"Kita Villa Flitzesternchen",0,726,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,16:00
547229,52.5182031,13.2739284,"13","0|4|6",,"Kita Villa Grips",0,1132,1,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
680229,52.5847609,13.3659791,,,,"Kita Villa Her(t)zstraße",0,1082,1,0,0,0,0,0,0,0,0,0,0
1423,52.480543,13.4525932,"2",,,"Kita Villa Kunterbunt",0,10,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00
349229,52.5805714,13.3952109,"2",,,"Kita Villa Lobo",0,725,1,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30
649229,52.52150779999999,13.3234027,,,,"Kita Villa Luna Berlin",0,1133,1,0,0,0,0,0,0,0,0,0,0
29,52.5027059,13.401651,"2","4|6",,"Kita Villa Murkelmeier",0,856,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1266,52.43896,13.33922,"2","0|4|7",,"Kita Villa Musica",0,1007,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00
1722,52.5449934,13.2066192,"4","1|2",,"Kita Villa Purzelbaum",0,717,0,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
597,52.5551,13.4092344,"13|2","2",,"Kita Villa Schabernack",0,716,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
203179,52.5465982,13.2278939,"2",,,"Kita Villa Sprechspatzen",0,652,1,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00
2541,52.56773,13.4059,"2","1|2",,"KITA Villa Sternenschiff",0,771,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
688379,52.5910498,13.4424268,,,,"Kita Villa Universum",0,1134,1,0,0,0,0,0,0,0,0,0,0
273129,52.45840399999999,13.3819738,"2","0|2|3|4","0|2|3","Kita Villa Wackelzahn",0,281,2,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00
566229,52.4359629,13.5476826,"0","1",,"Kita Vitale Großstadtmäuse II",0,1076,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
1750,52.5380092,13.1967486,,,,"Kita Vogelnest",0,551,1,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30
1881,52.4830386,13.3542784,"2","2",,"Kita Vorbergstraße",0,722,1,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00
2136,52.490134,13.5634816,"2",,,"Kita Waldhäuschen",0,1053,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1491,52.62616999999999,13.23647,,,,"Kita Waldkirche/Ev.Kg.Bln-Heiligensee",0,788,4,06:00,16:30,06:00,16:30,06:00,16:30,06:00,16:30,06:00,16:30
1237,52.58316,13.23608,,,,"Kita Waldmäuse e.V./Waldabschni.Konradshöhe/Reiherberg",1,1135,2,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
1475,52.61009000000001,13.337,"2","4",,"Kita Waldshuter Zeile",0,714,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1944,52.40562,13.58631,"13|0|2","1|2|4|6",,"Kita Waldspielhaus",0,15,1,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30
598229,52.4562234,13.5646283,,,,"Kita Waldwurzelzwerge",2,1044,1,0,0,0,0,0,0,0,0,0,0
1650,52.5018414,13.3143404,,"2|4|6",,"Kita Walter-Benjamin-Platz",0,717,0,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00
2152,52.5551298,13.5553908,"4",,,"Kita Walter-Felsenstein-Str. 39/41/Kigä NordOst",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2122,52.63191,13.49224,,,,"Kita Walter-Friedrich-Str. 20-22/Kigä NordOst",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
1011,52.5172598,13.3113704,,"1|2|4",,"Kita Warburgzeile",0,717,0,06:00,17:30,06:00,17:30,06:00,17:30,06:00,17:30,06:00,16:00
593,52.5658733,13.519761,"3","1|2|4",,"Kita Warnitzer Str. 9",0,920,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00
2913,52.46982,13.42617,,,,"Kita Warthestraße",0,726,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00
504279,52.5460959,13.5988786,,"0|1|3|4|6|5","5","Kita Warumka",0,766,1,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00
